scheme,pivot,data_type,size,time,time_min,time_max,swaps,comparisons,memory_used
QuickSortLomuto,last,identical,100,0.0011133352915445,0.0008604526519775,0.0014724731445312,99,5049,8316
QuickSortLomuto,random,identical,100,0.0008668899536132,0.0004885196685791,0.0012850761413574,192,5049,8316
QuickSortLomuto,median_of_three,identical,100,0.0007918675740559,0.000523567199707,0.0010244846343994,198,5346,8316
QuickSortLomuto,median_of_three_random,identical,100,0.0015074412027994,0.0013556480407714,0.0015914440155029,193,5343,8316
QuickSortHoare,last,identical,100,0.0004931290944417,0.0003707408905029,0.0006749629974365,415,1245,13860
QuickSortHoare,random,identical,100,0.000746726989746,0.0004873275756835,0.0008821487426757,415,1245,13860
QuickSortHoare,median_of_three,identical,100,0.0002628962198893,0.0002110004425048,0.000359296798706,415,1542,13860
QuickSortHoare,median_of_three_random,identical,100,0.0003918806711832,0.000349998474121,0.0004234313964843,415,1434,13860
QuickSortDoublePivot,double,identical,100,0.0011911392211914,0.0011727809906005,0.0012109279632568,100,2500,9800
QuickSortDijkstra,median_of_three_random,identical,100,4.283587137858073e-05,3.790855407714844e-05,5.14984130859375e-05,1,3,140
QuickSortLomuto,last,identical,500,0.0455071131388346,0.020939826965332,0.065864086151123,499,125249,41916
QuickSortLomuto,random,identical,500,0.0221588611602783,0.0207619667053222,0.0246164798736572,989,125249,41916
QuickSortLomuto,median_of_three,identical,500,0.0131169954935709,0.0124769210815429,0.0138330459594726,998,126746,41916
QuickSortLomuto,median_of_three_random,identical,500,0.014135996500651,0.0122334957122802,0.0151076316833496,990,126743,41916
QuickSortHoare,last,identical,500,0.0023949940999348,0.001216173171997,0.0039360523223876,2715,8145,69860
QuickSortHoare,random,identical,500,0.002068281173706,0.001502513885498,0.0029971599578857,2715,8145,69860
QuickSortHoare,median_of_three,identical,500,0.0032440821329752,0.0028481483459472,0.0037603378295898,2715,9642,69860
QuickSortHoare,median_of_three_random,identical,500,0.0022740364074707,0.0019147396087646,0.0029520988464355,2715,8910,69860
QuickSortDoublePivot,double,identical,500,0.008917490641276,0.0065603256225585,0.0105788707733154,500,62500,49000
QuickSortDijkstra,median_of_three_random,identical,500,4.665056864420573e-05,3.457069396972656e-05,5.698204040527344e-05,1,3,140
QuickSortLomuto,last,identical,1000,0.0417154630025227,0.0401804447174072,0.0446484088897705,999,500499,83916
QuickSortLomuto,random,identical,1000,0.04307222366333,0.0367300510406494,0.0499937534332275,1990,500499,83916
QuickSortLomuto,median_of_three,identical,1000,0.0408342679341634,0.0353689193725585,0.0515799522399902,1998,503496,83916
QuickSortLomuto,median_of_three_random,identical,1000,0.0394446055094401,0.0365245342254638,0.0437855720520019,1993,503493,83916
QuickSortHoare,last,identical,1000,0.0060113271077473,0.0043175220489501,0.0078299045562744,5931,17793,139860
QuickSortHoare,random,identical,1000,0.0034530162811279,0.0031256675720214,0.0039191246032714,5931,17793,139860
QuickSortHoare,median_of_three,identical,1000,0.0043533643086751,0.0036861896514892,0.0048763751983642,5931,20790,139860
QuickSortHoare,median_of_three_random,identical,1000,0.0058222611745198,0.0045247077941894,0.0071296691894531,5931,19326,139860
QuickSortDoublePivot,double,identical,1000,0.0297621091206868,0.028956651687622,0.0305523872375488,1000,250000,98000
QuickSortDijkstra,median_of_three_random,identical,1000,7.176399230957031e-05,6.556510925292969e-05,7.843971252441406e-05,1,3,140
QuickSortLomuto,last,identical,5000,0.9321640332539876,0.9158294200897216,0.947735071182251,4999,12502499,419916
